IDENTIFIER,TRAVEL_BEGIN_DT,TRAVEL_END_DT,TRAVEL_EXPENSE_CATEGORY,ACCOUNT,PROJECT_ID, AMOUNT 
NC2403116865,03/04/24,03/08/24,Other Ground Transportation,53141,583693-02904,  110.00 
NC2403116870,01/30/24,02/03/24,Other Ground Transportation,53141,354318,  104.67 
NC2403126886,02/24/24,02/27/24,Other Ground Transportation,53141,201472,  176.34 
NC2403126904,03/02/24,03/08/24,Other Ground Transportation,53141,201472,  112.57 
NC2403126923,02/29/24,03/01/24,Mileage,53141,361471-10003,  384.58 
NC2403126929,03/01/24,03/03/24,Mileage,53141,500559,  174.87 
NC2403126933,10/03/23,10/03/23,Mileage,53141,361471-10003,  47.16 
NC2403126937,03/05/24,03/05/24,Mileage,53141,361471-10003,  48.24 
NC2403126940,03/06/24,03/10/24,Other Ground Transportation,53141,201400,  31.35 
NC2403126949,03/07/24,03/07/24,Other Ground Transportation,53141,350219,  60.61 
NC2403126951,02/18/24,02/20/24,Mileage,53141,660268,  187.60 
NC2403126954,02/25/24,02/27/24,Other Ground Transportation,53141,201574-00400,  70.72 
NC2403126958,02/28/24,02/29/24,Mileage,53141,201574-00400,  28.81 
NC2403126958,02/28/24,02/29/24,Other Ground Transportation,53141,201574-00400,  137.64 
NC2403126967,02/17/24,,Mileage,53141,406050-05141,  174.20 
NC2403136983,02/29/24,03/02/24,Other Ground Transportation,53141,201475,  178.53 
NC2403136984,03/05/24,03/07/24,Mileage,53141,201473-20185,  329.64 
NC2403136986,02/28/24,03/02/24,Other Ground Transportation,53141,355019,  199.45 
NC2403136987,03/05/24,03/09/24,Other Ground Transportation,53141,201473-20185,  73.95 
NC2403137001,03/05/24,03/07/24,Other Ground Transportation,53141,201473-20185,  232.84 
NC2403137007,03/01/24,03/03/24,Mileage,53141,500559,  157.45 
NC2403137011,02/25/24,02/27/24,Other Ground Transportation,53141,672429,  127.87 
NC2403137012,03/02/24,03/08/24,Other Ground Transportation,53141,257585-04001,  113.64 
NC2403137015,03/01/24,03/03/24,Mileage,53141,567852,  268.00 
NC2403137023,03/01/24,03/03/24,Mileage,53141,567852,  339.02 
NC2403137027,02/25/24,02/27/24,Other Ground Transportation,53141,201584-50602,  155.84 
NC2403137031,03/03/24,03/05/24,Mileage,53141,201584-50602,  42.88 
NC2403137031,03/03/24,03/05/24,Other Ground Transportation,53141,201584-50602,  99.89 
NC2403137035,03/01/24,03/03/24,Mileage,53141,567852,  48.24 
NC2403137037,02/29/24,03/03/24,Other Ground Transportation,53141,201582-01003,  50.12 
NC2403137041,03/01/24,03/03/24,Mileage,53141,567852,  245.22 
